230213 nsim = 1000
id, n_Asites, n_Bsites, n_Csites, n_meas_start, n_meas_end, n_meas_step, comments
1, 1, 10, 1, 1, 10,1, randClif
2, 1, 20, 1, 10, 20,1, randClif
3, 1, 40, 1, 30, 40,1, randClif
4, 1, 60, 1, 50, 60,1, randClif
5, 1, 80, 1, 70, 80,1, randClif
6, 1, 100, 1, 90, 100,1, randClif

7, 1, 20, 1, 10, 20, 1, randClif
8, 2, 20, 2, 10, 20, 1, randClif
9, 3, 20, 3, 10, 20, 1, randClif
10, 4, 20, 4, 10, 20, 1, randClif
11, 5, 20, 5, 10, 20, 1, randClif
12, 6, 20, 6, 10, 20, 1, randClif
13, 7, 20, 7, 10, 20, 1, randClif
14, 8, 20, 8, 10, 20, 1, randClif
15, 9, 20, 9, 10, 20, 1, randClif
16, 10, 20, 10, 10, 20, 1, randClif

17, 2, 10, 2, 1, 10,1, randClif
18, 2, 20, 2, 10, 20,1, randClif
19, 2, 40, 2, 30, 40,1, randClif
20, 2, 60, 2, 50, 60,1, randClif
21, 2, 80, 2, 70, 80,1, randClif
22, 2, 100, 2, 90, 100,1, randClif

23, 1, 20, 1, 10, 20,1,  randHPB
24, 1, 40, 1, 30, 40,1,  randHPB
25, 1, 60, 1, 50, 60,1,  randHPB
26, 1, 80, 1, 70, 80,1,  randHPB
27, 1, 100, 1, 90, 100,1,randHPB

28, 1, 20, 1, 10, 20,  2,  randHPB
29, 1, 40, 1, 30, 40,  4,  randHPB
30, 1, 60, 1, 50, 60,  6,  randHPB
31, 1, 80, 1, 70, 80,  8,  randHPB
32, 1, 100,1, 90, 100,10,  randHPB

33, 1, 20, 1, 1, 10, 1,  randHPB
34, 1, 40, 1, 1, 10, 1,  randHPB
35, 1, 60, 1, 1, 10, 1,  randHPB
36, 1, 80, 1, 1, 10, 1,  randHPB
37, 1, 100,1, 1, 10, 1,  randHPB

38, 1, 20, 1, 10, 20 , 1,  randHP
39, 1, 40, 1, 30, 40 , 1,  randHP
40, 1, 60, 1, 50, 60 , 1,  randHP
41, 1, 80, 1, 70, 80 , 1,  randHP
42, 1, 100,1, 90, 100, 1,  randHP

43, 1, 20, 1, 1, 10, 1,  randHP
44, 1, 40, 1, 1, 10, 1,  randHP
45, 1, 60, 1, 1, 10, 1,  randHP
46, 1, 80, 1, 1, 10, 1,  randHP
47, 1, 100,1, 1, 10, 1,  randHP
48, 1, 200,1, 1, 10, 1,  randHP

49, 1, 20, 1, 1, 10, 1,  randHP_2Clif
50, 1, 40, 1, 1, 10, 1,  randHP_2Clif
51, 1, 60, 1, 1, 10, 1,  randHP_2Clif
52, 1, 80, 1, 1, 10, 1,  randHP_2Clif
53, 1, 100,1, 1, 10, 1,  randHP_2Clif

54, 1, 20, 1, 10, 20 , 1,  randHP_2Clif
55, 1, 40, 1, 30, 40 , 1,  randHP_2Clif
56, 1, 60, 1, 50, 60 , 1,  randHP_2Clif
57, 1, 80, 1, 70, 80 , 1,  randHP_2Clif
58, 1, 100,1, 90, 100, 1,  randHP_2Clif


59, 4, 20, 4, 10, 20 , 1,  randClif
60, 4, 40, 4, 30, 40 , 1,  randClif
61, 4, 60, 4, 50, 60 , 1,  randClif
62, 4, 80, 4, 70, 80 , 1,  randClif
63, 4, 100,4, 90, 100, 1,  randClif


64, 8, 20, 8, 10, 20 , 1,  randClif
65, 8, 40, 8, 30, 40 , 1,  randClif
66, 8, 60, 8, 50, 60 , 1,  randClif
67, 8, 80, 8, 70, 80 , 1,  randClif
68, 8, 100,8, 90, 100, 1,  randClif

69-78, 1-10, 20, 1-10, 1, 20, 1, randClif

79-83, 1, 20:20:100, 1, 1, 20, 1, randHPB

84-93, 1-10, 20, 1-10, 2, 20, 2, randHPB

94-103, 1-10, 40, 1-10, 2, 40, 2, randHPB

104-108, 1, 20:20:100, 1, 1, n_Bsites, 1, randHP

109-111, 1, 120:20:160, 1, 1, 50, 2, randHP

112-131, 1-20, 40, 1-20, 2, 40, 2, randHP

132-151, 1-20, 40, 1-20, 2, 40, 2, randClif

152-156, 1, 20:20:100, 1, n_Bsites-20, n_Bsites, 2, twoClifB

157-161, 1, 20:20:100, 1, n_Bsites-20, n_Bsites, 2, twoClif

162-171, 1-10, 40, 1-10, 2, 40, 2, randHP

182-1791, 11-20, 40, 11-20, 2, 40, 2, randHP
